Time,obj_attrs,count
10:40:33,"{'ids': [0, 1, 4, 2, 5, 3, 6, 9, 8, 7, 10, 12, 11, 15, 13, 14]}",16
10:40:34,"{'ids': [0, 1, 2, 5, 4, 3, 9, 6, 8, 7, 12, 17, 14, 13, 11, 10]}",16
10:40:35,"{'ids': [0, 1, 2, 4, 6, 9, 7, 5, 3, 8, 10, 17, 13, 12, 19]}",15
10:40:36,"{'ids': [0, 1, 4, 2, 6, 3, 5, 9, 7, 12, 8, 13, 10, 18, 20]}",15
10:40:37,"{'ids': [0, 1, 6, 9, 2, 3, 4, 5, 12, 7, 14, 8, 21, 13, 10]}",15
10:40:38,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 12, 1, 8, 10, 21, 14]}",14
10:40:39,"{'ids': [0, 6, 5, 3, 9, 2, 4, 21, 12, 8, 7, 1, 10]}",13
10:40:40,"{'ids': [0, 5, 21, 1, 4, 3, 6, 2, 12, 8, 22, 9, 10, 7]}",14
10:40:41,"{'ids': [0, 2, 1, 21, 6, 5, 3, 9, 12, 22, 8, 13, 10, 4, 7, 23]}",16
10:40:42,"{'ids': [0, 21, 1, 6, 2, 3, 5, 4, 7, 9, 13, 12, 8, 23]}",14
10:40:43,"{'ids': [0, 21, 4, 6, 1, 25, 5, 10, 7, 9, 3, 14, 2, 23, 13, 8]}",16
10:40:45,"{'ids': [0, 21, 4, 6, 25, 1, 2, 5, 7, 9, 23, 8, 3]}",13
